"Dato";"Region";"Køn";"Bekræftede tilfælde";"Døde";"Overstået infektion";"Indlæggelser";"Testede personer";"Ændring i antal bekræftede tilfælde";"Ændring i antal døde";"Ændring i antal overstået infektion";"Ændring i antal indlagte";"Ændring i antallet af testede personer";"Antallet af prøver";"Ændring i antallet af prøver"
2021-03-15;Hovedstaden;F;53777;611;51539;3128;777183;109;1;118;4;1416;4159255;37094
2021-03-15;Hovedstaden;M;50133;666;47784;3222;719776;123;0;125;5;1633;3135776;32819
2021-03-15;Midtjylland;F;19727;148;18878;823;516608;64;0;28;2;1761;2406556;27782
2021-03-15;Midtjylland;M;18958;193;18019;1028;486932;50;0;29;0;1902;1817190;25008
2021-03-15;NA;;0;0;0;0;20;0;0;0;0;0;25;0
2021-03-15;NA;F;686;0;641;41;27512;4;0;3;0;470;63312;838
2021-03-15;NA;M;1460;2;1349;91;55903;5;0;14;0;914;120694;1583
2021-03-15;Nordjylland;F;7528;69;7214;360;244109;24;0;13;0;396;1248503;12237
2021-03-15;Nordjylland;M;7471;109;7098;450;235472;21;0;15;1;497;944364;10763
2021-03-15;Sjælland;F;16028;171;15247;1022;321532;39;1;22;3;1071;1566188;15178
2021-03-15;Sjælland;M;14677;216;13835;1216;300885;35;0;34;1;1190;1156927;13948
2021-03-15;Syddanmark;F;15209;95;14211;694;474315;66;0;52;3;706;2266352;17472
2021-03-15;Syddanmark;M;15417;113;14299;786;449628;72;0;59;0;842;1743579;15312
