"Kommune";"Bekræftede tilfælde de seneste 7 dage";"Testede de seneste 7 dage";"Positivprocent 7 dage"
101;611;132191;0,46
147;57;23608;0,24
151;79;11621;0,68
153;70;7137;0,98
155;13;3559;0,37
157;29;14559;0,20
159;126;15466;0,81
161;25;5223;0,48
163;34;6956;0,49
165;62;6697;0,93
167;54;10426;0,52
169;122;11847;1,03
173;26;12036;0,22
175;39;8766;0,44
183;54;5979;0,90
185;45;9553;0,47
187;31;3759;0,82
190;26;8968;0,29
201;22;6251;0,35
210;46;8514;0,54
217;67;12129;0,55
219;66;12745;0,52
223;15;5011;0,30
230;28;11689;0,24
240;31;12248;0,25
250;20;9121;0,22
253;53;11079;0,48
259;46;12876;0,36
260;2;6332;0,03
265;52;21257;0,24
269;7;5359;0,13
270;12;7919;0,15
306;36;6279;0,57
316;74;17143;0,43
320;15;7606;0,20
326;34;10212;0,33
329;49;8112;0,60
330;98;17007;0,58
336;11;4698;0,23
340;23;6651;0,35
350;23;6327;0,36
360;15;7946;0,19
370;63;20024;0,31
376;23;13233;0,17
390;15;9622;0,16
400;30;15518;0,19
410;23;9358;0,25
411;0;10;0,00
420;9;9866;0,09
430;35;12270;0,29
440;20;5490;0,36
450;28;7777;0,36
461;205;52785;0,39
479;18;15019;0,12
480;25;7000;0,36
482;4;2408;0,17
492;0;990;0,00
510;85;13514;0,63
530;28;6566;0,43
540;35;17384;0,20
550;14;7851;0,18
561;237;24649;0,96
563;0;1065;0,00
573;18;9705;0,19
575;20;10043;0,20
580;67;16544;0,40
607;31;11851;0,26
615;94;21373;0,44
621;135;29619;0,46
630;216;29116;0,74
657;41;19338;0,21
661;36;13816;0,26
665;4;4156;0,10
671;7;4408;0,16
706;18;8368;0,22
707;16;7127;0,22
710;19;11096;0,17
727;14;4871;0,29
730;151;21706;0,70
740;55;21346;0,26
741;1;545;0,18
746;48;14942;0,32
751;238;73104;0,33
756;25;8385;0,30
760;17;13157;0,13
766;23;10825;0,21
773;17;4227;0,40
779;23;9185;0,25
787;30;10100;0,30
791;47;21997;0,21
810;9;8885;0,10
813;23;13616;0,17
820;35;7217;0,48
825;0;73;0,00
840;22;6822;0,32
846;26;10543;0,25
849;30;8374;0,36
851;143;51905;0,28
860;26;15063;0,17
