"Dato";"Region";"Køn";"Bekræftede tilfælde";"Døde";"Overstået infektion";"Indlæggelser";"Testede personer";"Ændring i antal bekræftede tilfælde";"Ændring i antal døde";"Ændring i antal overstået infektion";"Ændring i antal indlagte";"Ændring i antallet af testede personer";"Antallet af prøver";"Ændring i antallet af prøver"
2021-03-08;Hovedstaden;F;52831;609;50699;3087;760288;93;0;67;6;574;3749536;17508
2021-03-08;Hovedstaden;M;49091;665;46913;3174;698956;84;1;90;3;693;2788114;14879
2021-03-08;Midtjylland;F;19210;147;18646;818;501655;34;0;40;2;769;2143822;15711
2021-03-08;Midtjylland;M;18336;193;17745;1030;467920;21;0;39;0;892;1584860;13724
2021-03-08;NA;;0;0;0;0;18;0;0;0;0;0;24;0
2021-03-08;NA;F;619;0;601;41;15312;0;0;1;0;23;44069;208
2021-03-08;NA;M;1284;2;1219;91;25894;2;0;1;0;72;70940;446
2021-03-08;Nordjylland;F;7338;68;7099;359;240010;6;0;9;0;260;1121766;9318
2021-03-08;Nordjylland;M;7262;109;6978;448;229386;9;0;11;0;327;833913;7241
2021-03-08;Sjælland;F;15655;170;14928;1008;310481;32;0;21;3;316;1395779;6230
2021-03-08;Sjælland;M;14284;212;13522;1195;287081;36;1;36;2;374;1005106;5577
2021-03-08;Syddanmark;F;14594;94;13715;671;457005;42;0;85;2;656;1988885;14228
2021-03-08;Syddanmark;M;14760;112;13767;766;428586;66;0;67;3;756;1503464;12930
