"Kommune";"Bekræftede tilfælde de seneste 7 dage";"Testede de seneste 7 dage";"Positivprocent 7 dage"
101;841;88143;0,95
147;89;12024;0,74
151;123;11681;1,05
153;109;5264;2,07
155;8;2525;0,32
157;37;9568;0,39
159;116;11524;1,01
161;28;3709;0,75
163;40;4862;0,82
165;38;4046;0,94
167;59;8487;0,70
169;124;11236;1,10
173;42;7180;0,58
175;72;6077;1,18
183;75;5059;1,48
185;43;7382;0,58
187;34;2602;1,31
190;74;6534;1,13
201;10;4062;0,25
210;77;5665;1,36
217;93;7500;1,24
219;46;10079;0,46
223;33;3219;1,03
230;30;7090;0,42
240;32;8207;0,39
250;32;6124;0,52
253;49;8192;0,60
259;41;7732;0,53
260;46;3564;1,29
265;59;15221;0,39
269;24;3589;0,67
270;45;5490;0,82
306;18;3883;0,46
316;73;11433;0,64
320;20;4944;0,40
326;8;5330;0,15
329;27;4300;0,63
330;63;12169;0,52
336;9;2645;0,34
340;3;4057;0,07
350;41;4722;0,87
360;15;5917;0,25
370;49;14052;0,35
376;21;8923;0,24
390;15;5739;0,26
400;3;7684;0,04
410;12;6485;0,19
411;0;2;0,00
420;19;4854;0,39
430;41;9378;0,44
440;31;4484;0,69
450;29;5289;0,55
461;234;39567;0,59
479;55;10813;0,51
480;23;4410;0,52
482;4;924;0,43
492;0;647;0,00
510;53;7826;0,68
530;42;5312;0,79
540;15;13044;0,11
550;19;5076;0,37
561;128;21820;0,59
563;1;172;0,58
573;14;6776;0,21
575;37;6298;0,59
580;41;11845;0,35
607;38;8616;0,44
615;63;15897;0,40
621;96;18023;0,53
630;164;21853;0,75
657;48;13865;0,35
661;11;9911;0,11
665;6;2726;0,22
671;4;3225;0,12
706;6;5745;0,10
707;4;4221;0,09
710;28;8519;0,33
727;4;3812;0,10
730;115;14114;0,81
740;31;13882;0,22
741;0;213;0,00
746;43;11626;0,37
751;171;49784;0,34
756;14;6330;0,22
760;10;7189;0,14
766;44;8154;0,54
773;5;3127;0,16
779;10;6435;0,16
787;6;6543;0,09
791;40;15567;0,26
810;3;6453;0,05
813;13;9910;0,13
820;17;5405;0,31
825;0;68;0,00
840;11;4936;0,22
846;26;7026;0,37
849;15;5441;0,28
851;116;38589;0,30
860;33;10746;0,31
