"Kommune";"Bekræftede tilfælde de seneste 7 dage";"Testede de seneste 7 dage";"Positivprocent 7 dage"
101;609;128860;0,47
147;84;21107;0,40
151;76;10300;0,74
153;67;6189;1,08
155;6;3329;0,18
157;28;12897;0,22
159;110;13032;0,84
161;20;4843;0,41
163;32;6389;0,50
165;48;5250;0,91
167;50;10104;0,49
169;124;10178;1,22
173;27;10453;0,26
175;34;7704;0,44
183;56;5630;0,99
185;40;8428;0,47
187;23;3176;0,72
190;31;8343;0,37
201;19;5498;0,35
210;55;8340;0,66
217;74;10949;0,68
219;61;10297;0,59
223;7;4254;0,16
230;17;10617;0,16
240;54;10924;0,49
250;21;7961;0,26
253;66;9504;0,69
259;37;10419;0,36
260;5;5176;0,10
265;85;17976;0,47
269;12;4505;0,27
270;7;7055;0,10
306;16;4952;0,32
316;68;13959;0,49
320;9;6033;0,15
326;25;7751;0,32
329;46;6149;0,75
330;72;14024;0,51
336;9;3579;0,25
340;22;5376;0,41
350;13;5145;0,25
360;5;6412;0,08
370;103;16409;0,63
376;33;11339;0,29
390;30;7391;0,41
400;18;15347;0,12
410;7;7387;0,09
411;0;5;0,00
420;5;6999;0,07
430;31;10065;0,31
440;10;5166;0,19
450;51;7343;0,69
461;188;46976;0,40
479;8;12205;0,07
480;23;6246;0,37
482;6;1233;0,49
492;1;938;0,11
510;43;10602;0,41
530;16;5622;0,28
540;23;14815;0,16
550;13;6210;0,21
561;209;22271;0,94
563;1;419;0,24
573;18;8549;0,21
575;17;8225;0,21
580;51;13233;0,39
607;25;9937;0,25
615;109;16621;0,66
621;138;27275;0,51
630;169;24887;0,68
657;31;16286;0,19
661;30;11854;0,25
665;6;3421;0,18
671;7;3970;0,18
706;23;6768;0,34
707;26;5581;0,47
710;19;9447;0,20
727;17;3975;0,43
730;152;17230;0,88
740;57;17429;0,33
741;1;343;0,29
746;35;12081;0,29
751;235;62480;0,38
756;16;7425;0,22
760;42;11062;0,38
766;34;9331;0,36
773;5;3663;0,14
779;34;7999;0,43
787;36;9268;0,39
791;50;19556;0,26
810;10;7881;0,13
813;14;11042;0,13
820;20;6515;0,31
825;0;95;0,00
840;13;5989;0,22
846;26;8907;0,29
849;21;7390;0,28
851;118;45179;0,26
860;17;13186;0,13
