"Kommune";"Bekræftede tilfælde de seneste 7 dage";"Testede de seneste 7 dage";"Positivprocent 7 dage"
101;632;136145;0,46
147;63;24152;0,26
151;83;11811;0,70
153;76;7559;1,01
155;12;3512;0,34
157;28;15465;0,18
159;117;16138;0,72
161;27;5379;0,50
163;32;7355;0,44
165;59;7045;0,84
167;50;10907;0,46
169;122;12682;0,96
173;26;12609;0,21
175;34;9103;0,37
183;59;6278;0,94
185;46;10455;0,44
187;38;4044;0,94
190;27;9420;0,29
201;23;6673;0,34
210;49;8897;0,55
217;60;13478;0,45
219;61;13421;0,45
223;21;5419;0,39
230;28;12646;0,22
240;32;12858;0,25
250;20;9863;0,20
253;53;11504;0,46
259;48;13397;0,36
260;6;6727;0,09
265;55;22565;0,24
269;9;5775;0,16
270;16;8454;0,19
306;38;6495;0,59
316;70;17923;0,39
320;16;8430;0,19
326;33;10555;0,31
329;41;8137;0,50
330;98;18113;0,54
336;11;5046;0,22
340;23;7316;0,31
350;31;6836;0,45
360;16;8036;0,20
370;64;20994;0,30
376;26;13391;0,19
390;10;9454;0,11
400;24;16299;0,15
410;25;10108;0,25
411;0;11;0,00
420;12;10184;0,12
430;40;13523;0,30
440;28;5075;0,55
450;20;8276;0,24
461;215;54496;0,39
479;19;15912;0,12
480;26;7668;0,34
482;1;2491;0,04
492;0;1084;0,00
510;89;14131;0,63
530;31;6946;0,45
540;31;17510;0,18
550;15;8009;0,19
561;223;26645;0,84
563;0;1064;0,00
573;17;11064;0,15
575;20;9291;0,22
580;59;17170;0,34
607;29;12569;0,23
615;92;21840;0,42
621;138;30175;0,46
630;228;29655;0,77
657;50;19972;0,25
661;32;14056;0,23
665;4;4199;0,10
671;5;4515;0,11
706;16;8871;0,18
707;16;7430;0,22
710;22;11261;0,20
727;10;5034;0,20
730;157;22779;0,69
740;53;21972;0,24
741;1;584;0,17
746;48;15208;0,32
751;231;73490;0,31
756;26;8710;0,30
760;20;13370;0,15
766;25;11033;0,23
773;19;4009;0,47
779;18;9342;0,19
787;29;10755;0,27
791;42;22193;0,19
810;9;8386;0,11
813;21;13156;0,16
820;31;5880;0,53
825;0;156;0,00
840;23;7582;0,30
846;26;10883;0,24
849;24;8726;0,28
851;152;52582;0,29
860;25;15603;0,16
