"Dato";"Region";"Køn";"Bekræftede tilfælde";"Døde";"Overstået infektion";"Indlæggelser";"Testede personer";"Ændring i antal bekræftede tilfælde";"Ændring i antal døde";"Ændring i antal overstået infektion";"Ændring i antal indlagte";"Ændring i antallet af testede personer";"Antallet af prøver";"Ændring i antallet af prøver"
2021-03-24;Hovedstaden;F;55126;614;52634;3172;791652;182;0;126;5;1478;4631549;58617
2021-03-24;Hovedstaden;M;51709;670;48911;3288;736320;228;1;160;4;1654;3523876;45437
2021-03-24;Midtjylland;F;20197;148;19329;839;528612;66;0;53;1;1298;2708785;42336
2021-03-24;Midtjylland;M;19474;193;18506;1043;500364;61;0;75;2;1376;2059271;31772
2021-03-24;NA;;0;0;0;0;21;0;0;0;0;0;33;0
2021-03-24;NA;F;707;0;665;41;31054;3;0;1;0;282;72676;866
2021-03-24;NA;M;1582;2;1422;96;63238;20;0;2;0;765;140678;1891
2021-03-24;Nordjylland;F;7699;69;7365;363;247273;14;0;19;1;295;1391565;18094
2021-03-24;Nordjylland;M;7712;110;7257;456;239315;24;0;26;1;375;1057858;13909
2021-03-24;Sjælland;F;16382;172;15650;1049;329925;50;0;43;3;792;1764203;27639
2021-03-24;Sjælland;M;15071;218;14242;1239;310422;44;1;44;0;917;1317648;20604
2021-03-24;Syddanmark;F;15995;96;14789;720;488439;73;0;88;2;686;2588929;29214
2021-03-24;Syddanmark;M;16240;113;15000;821;465996;98;0;98;4;810;2010392;21762
