"Meldejahr";"Meldewoche";"Altersgruppen.Inz";"Inzidenz";"Anzahl"
"2020";"05";"'05-09";0;0
"2020";"05";"'10-14";0;0
"2020";"05";"00-04";0,16;1
"2020";"05";"15-19";0;0
"2020";"05";"20-34";0,12;3
"2020";"05";"35-59";0,06;3
"2020";"05";"60-79";0;0
"2020";"05";"80+";0;0
"2020";"05";"Gesamt";0,05;7
"2020";"06";"'05-09";0;0
"2020";"06";"'10-14";0;0
"2020";"06";"00-04";0,16;1
"2020";"06";"15-19";0;0
"2020";"06";"20-34";0,08;2
"2020";"06";"35-59";0,06;3
"2020";"06";"60-79";0;0
"2020";"06";"80+";0;0
"2020";"06";"Gesamt";0,05;6
"2020";"07";"'05-09";0;0
"2020";"07";"'10-14";0;0
"2020";"07";"00-04";0,16;1
"2020";"07";"15-19";0;0
"2020";"07";"20-34";0;0
"2020";"07";"35-59";0,04;2
"2020";"07";"60-79";0;0
"2020";"07";"80+";0;0
"2020";"07";"Gesamt";0,02;3
"2020";"09";"'05-09";0;0
"2020";"09";"'10-14";0;0
"2020";"09";"00-04";0;0
"2020";"09";"15-19";0;0
"2020";"09";"20-34";0,08;2
"2020";"09";"35-59";0,13;6
"2020";"09";"60-79";0,04;1
"2020";"09";"80+";0;0
"2020";"09";"Gesamt";0,07;9
"2020";"10";"'05-09";0,51;3
"2020";"10";"'10-14";1,04;6
"2020";"10";"00-04";0,16;1
"2020";"10";"15-19";1,12;7
"2020";"10";"20-34";0,96;24
"2020";"10";"35-59";1,83;85
"2020";"10";"60-79";0,29;8
"2020";"10";"80+";0,36;3
"2020";"10";"Gesamt";1,04;137
"2020";"11";"'05-09";3,76;22
"2020";"11";"'10-14";8,16;47
"2020";"11";"00-04";0,63;4
"2020";"11";"15-19";7,84;49
"2020";"11";"20-34";9,52;239
"2020";"11";"35-59";11,93;553
"2020";"11";"60-79";5,14;140
"2020";"11";"80+";4,69;39
"2020";"11";"Gesamt";8,33;1093
"2020";"12";"'05-09";9,06;53
"2020";"12";"'10-14";11,98;69
"2020";"12";"00-04";7,51;48
"2020";"12";"15-19";21,6;135
