"Kommune";"Bekræftede tilfælde de seneste 7 dage";"Testede de seneste 7 dage";"Positivprocent 7 dage"
101;888;96921;0,92
147;114;13434;0,85
151;103;11509;0,89
153;86;5871;1,46
155;14;2587;0,54
157;44;10455;0,42
159;150;12739;1,18
161;28;4259;0,66
163;28;5135;0,55
165;36;4364;0,82
167;80;8889;0,90
169;118;11497;1,03
173;44;7899;0,56
175;66;6671;0,99
183;86;5345;1,61
185;49;8183;0,60
187;22;3016;0,73
190;79;7381;1,07
201;17;4404;0,39
210;84;5938;1,41
217;106;8115;1,31
219;43;10363;0,41
223;41;3128;1,31
230;32;7611;0,42
240;31;8428;0,37
250;38;6365;0,60
253;57;8978;0,63
259;52;9010;0,58
260;67;4183;1,60
265;55;15874;0,35
269;28;4228;0,66
270;44;5882;0,75
306;11;4504;0,24
316;86;12021;0,72
320;24;5849;0,41
326;9;5951;0,15
329;33;4898;0,67
330;47;12635;0,37
336;7;3259;0,21
340;7;4613;0,15
350;23;5287;0,44
360;23;6464;0,36
370;51;14821;0,34
376;12;9416;0,13
390;11;6479;0,17
400;3;7586;0,04
410;12;6655;0,18
411;0;4;0,00
420;22;6125;0,36
430;30;9353;0,32
440;25;4118;0,61
450;33;5477;0,60
461;215;41629;0,52
479;59;11235;0,53
480;21;4626;0,45
482;4;1782;0,22
492;0;708;0,00
510;47;7948;0,59
530;39;5537;0,70
540;21;13767;0,15
550;14;5143;0,27
561;122;19523;0,62
563;2;769;0,26
573;17;6947;0,24
575;32;6323;0,51
580;39;12203;0,32
607;30;9081;0,33
615;67;16453;0,41
621;73;18621;0,39
630;166;23134;0,72
657;45;13724;0,33
661;13;10020;0,13
665;11;2938;0,37
671;4;3525;0,11
706;14;5810;0,24
707;7;4292;0,16
710;19;9162;0,21
727;7;3779;0,19
730;129;14618;0,88
740;33;14421;0,23
741;0;286;0,00
746;34;11898;0,29
751;198;54030;0,37
756;15;6500;0,23
760;15;7839;0,19
766;35;8396;0,42
773;3;3549;0,08
779;8;6632;0,12
787;4;6790;0,06
791;49;16056;0,31
810;10;5299;0,19
813;20;10562;0,19
820;24;4870;0,49
825;0;192;0,00
840;6;4622;0,13
846;27;6472;0,42
849;12;5098;0,24
851;111;39636;0,28
860;38;11183;0,34
