"Kommune";"Bekræftede tilfælde de seneste 7 dage";"Testede de seneste 7 dage";"Positivprocent 7 dage"
101;617;88170;0,70
147;60;12196;0,49
151;52;8953;0,58
153;46;5026;0,92
155;7;2684;0,26
157;35;9050;0,39
159;71;9648;0,74
161;27;3845;0,70
163;36;5333;0,68
165;21;3357;0,63
167;55;9462;0,58
169;102;8952;1,14
173;25;7102;0,35
175;34;5969;0,57
183;48;4799;1,00
185;39;7183;0,54
187;18;2215;0,81
190;33;6411;0,51
201;14;4500;0,31
210;65;5206;1,25
217;61;7412;0,82
219;47;9207;0,51
223;5;2290;0,22
230;17;7705;0,22
240;74;9499;0,78
250;19;6186;0,31
253;52;7426;0,70
259;36;7102;0,51
260;5;2679;0,19
265;86;14033;0,61
269;13;3709;0,35
270;11;5234;0,21
306;18;3544;0,51
316;59;10358;0,57
320;9;5608;0,16
326;12;4865;0,25
329;25;3846;0,65
330;47;11586;0,41
336;2;2877;0,07
340;13;4191;0,31
350;10;4177;0,24
360;8;5522;0,14
370;112;13918;0,80
376;42;8802;0,48
390;38;5585;0,68
400;5;8190;0,06
410;4;5291;0,08
411;0;2;0,00
420;5;4242;0,12
430;23;7442;0,31
440;10;4262;0,23
450;40;6545;0,61
461;181;36516;0,50
479;7;9501;0,07
480;14;3913;0,36
482;6;1694;0,35
492;1;798;0,13
510;23;6721;0,34
530;18;4296;0,42
540;16;10731;0,15
550;11;4596;0,24
561;118;17915;0,66
563;1;700;0,14
573;17;6652;0,26
575;15;4864;0,31
580;30;10815;0,28
607;23;7183;0,32
615;68;13505;0,50
621;145;20224;0,72
630;162;19710;0,82
657;17;11999;0,14
661;4;9965;0,04
665;1;2557;0,04
671;4;3217;0,12
706;6;5166;0,12
707;8;4209;0,19
710;2;7481;0,03
727;12;3287;0,37
730;56;11702;0,48
740;46;13493;0,34
741;0;205;0,00
746;20;10161;0,20
751;106;47783;0,22
756;1;5667;0,02
760;35;7154;0,49
766;45;7785;0,58
773;0;2414;0,00
779;5;5588;0,09
787;16;6819;0,23
791;33;14670;0,22
810;3;5264;0,06
813;3;10242;0,03
820;2;4598;0,04
825;0;235;0,00
840;2;4580;0,04
846;15;6601;0,23
849;8;5156;0,16
851;103;36614;0,28
860;2;11363;0,02
