"Dato";"Region";"Køn";"Bekræftede tilfælde";"Døde";"Overstået infektion";"Indlæggelser";"Testede personer";"Ændring i antal bekræftede tilfælde";"Ændring i antal døde";"Ændring i antal overstået infektion";"Ændring i antal indlagte";"Ændring i antallet af testede personer";"Antallet af prøver";"Ændring i antallet af prøver"
2021-03-11;Hovedstaden;F;53311;609;51079;3108;772606;180;0;120;5;2575;4005480;62795
2021-03-11;Hovedstaden;M;49677;665;47321;3198;714585;199;0;119;6;2943;3014228;50746
2021-03-11;Midtjylland;F;19525;147;18768;817;511560;64;0;38;1;1037;2295312;26005
2021-03-11;Midtjylland;M;18778;193;17897;1026;481221;83;0;35;0;1152;1729318;19392
2021-03-11;NA;;0;0;0;0;19;0;0;0;0;-1;23;-5
2021-03-11;NA;F;671;0;631;41;25822;4;0;0;0;391;59848;1151
2021-03-11;NA;M;1427;2;1306;90;52672;5;0;9;0;992;113789;3169
2021-03-11;Nordjylland;F;7439;68;7162;359;242915;9;0;15;0;275;1194833;12577
2021-03-11;Nordjylland;M;7390;109;7041;448;234007;18;0;15;0;334;902881;8597
2021-03-11;Sjælland;F;15851;170;15098;1013;317812;53;0;48;2;950;1492091;19305
2021-03-11;Sjælland;M;14508;214;13692;1208;296679;51;1;46;5;1051;1097857;14418
2021-03-11;Syddanmark;F;14928;94;13975;684;471569;96;0;63;3;1417;2180103;30214
2021-03-11;Syddanmark;M;15155;113;14050;776;446521;100;1;73;6;1450;1677796;21967
