"Kommune";"Bekræftede tilfælde de seneste 7 dage";"Testede de seneste 7 dage";"Positivprocent 7 dage"
101;844;161588;0,52
147;94;27043;0,35
151;121;14881;0,81
153;116;8530;1,36
155;11;4213;0,26
157;39;17974;0,22
159;109;18120;0,60
161;34;6174;0,55
163;42;7963;0,53
165;39;7141;0,55
167;48;12376;0,39
169;132;13641;0,97
173;39;14334;0,27
175;65;10125;0,64
183;86;6538;1,32
185;47;11114;0,42
187;39;4527;0,86
190;70;11382;0,62
201;17;7583;0,22
210;78;10201;0,76
217;98;15200;0,64
219;51;13899;0,37
223;41;6747;0,61
230;30;14204;0,21
240;37;13173;0,28
250;31;11123;0,28
253;43;12381;0,35
259;53;14848;0,36
260;35;7682;0,46
265;68;24248;0,28
269;19;6169;0,31
270;47;9848;0,48
306;22;6860;0,32
316;75;19264;0,39
320;24;8787;0,27
326;16;11233;0,14
329;32;8574;0,37
330;79;19506;0,41
336;14;5137;0,27
340;11;7254;0,15
350;53;7319;0,72
360;12;8867;0,14
370;66;22492;0,29
376;22;14633;0,15
390;15;10107;0,15
400;9;18269;0,05
410;18;10130;0,18
411;0;9;0,00
420;18;10090;0,18
430;48;13419;0,36
440;39;6160;0,63
450;22;7986;0,28
461;272;55677;0,49
479;43;15564;0,28
480;22;6611;0,33
482;1;2421;0,04
492;0;1356;0,00
510;63;14861;0,42
530;34;7356;0,46
540;22;17802;0,12
550;25;8005;0,31
561;156;29408;0,53
563;0;955;0,00
573;12;9970;0,12
575;34;10081;0,34
580;49;17258;0,28
607;41;12656;0,32
615;81;23161;0,35
621;127;28986;0,44
630;209;29680;0,70
657;81;22531;0,36
661;17;14788;0,11
665;8;4353;0,18
671;7;4789;0,15
706;7;9531;0,07
707;6;7675;0,08
710;34;12243;0,28
727;5;5840;0,09
730;148;25287;0,59
740;52;24219;0,21
741;0;598;0,00
746;53;16707;0,32
751;187;81407;0,23
756;20;9503;0,21
760;20;13565;0,15
766;48;11568;0,41
773;16;4830;0,33
779;11;9949;0,11
787;22;10707;0,21
791;47;24550;0,19
810;3;9552;0,03
813;13;15416;0,08
820;23;8469;0,27
825;0;280;0,00
840;22;7417;0,30
846;31;11207;0,28
849;21;9000;0,23
851;153;56242;0,27
860;33;15973;0,21
