"Dato";"Region";"Køn";"Bekræftede tilfælde";"Døde";"Overstået infektion";"Indlæggelser";"Testede personer";"Ændring i antal bekræftede tilfælde";"Ændring i antal døde";"Ændring i antal overstået infektion";"Ændring i antal indlagte";"Ændring i antallet af testede personer";"Antallet af prøver";"Ændring i antallet af prøver"
2021-03-10;Hovedstaden;F;53131;609;50959;3102;770031;177;0;166;6;8852;3942685;167105
2021-03-10;Hovedstaden;M;49478;665;47202;3192;711642;261;0;184;8;11686;2963482;154409
2021-03-10;Midtjylland;F;19461;147;18730;816;510523;210;0;40;1;8239;2269307;111628
2021-03-10;Midtjylland;M;18695;193;17862;1026;480069;324;0;79;0;11455;1709926;113213
2021-03-10;NA;;0;0;0;0;20;0;0;0;0;2;28;4
2021-03-10;NA;F;667;0;631;41;25431;47;0;28;0;10079;58697;14236
2021-03-10;NA;M;1422;2;1297;90;51680;135;0;72;0;25717;110620;39050
2021-03-10;Nordjylland;F;7430;68;7147;359;242640;79;0;27;0;2426;1182256;52651
2021-03-10;Nordjylland;M;7372;109;7026;448;233673;101;0;27;0;4051;894284;54033
2021-03-10;Sjælland;F;15798;170;15050;1011;316862;115;0;73;1;6000;1472786;68525
2021-03-10;Sjælland;M;14457;213;13646;1203;295628;136;1;84;7;8114;1083439;70985
2021-03-10;Syddanmark;F;14832;94;13912;681;470152;184;0;108;7;12382;2149889;144353
2021-03-10;Syddanmark;M;15055;112;13977;771;445071;238;0;130;4;15581;1655829;138310
