"Dato";"Region";"Køn";"Bekræftede tilfælde";"Døde";"Overstået infektion";"Indlæggelser";"Testede personer";"Ændring i antal bekræftede tilfælde";"Ændring i antal døde";"Ændring i antal overstået infektion";"Ændring i antal indlagte";"Ændring i antallet af testede personer";"Antallet af prøver";"Ændring i antallet af prøver"
2021-03-22;Hovedstaden;F;54785;614;52383;3155;788814;164;1;115;2;1574;4520434;52646
2021-03-22;Hovedstaden;M;51297;668;48607;3265;733006;206;0;100;4;1815;3432061;47944
2021-03-22;Midtjylland;F;20070;148;19208;834;526192;43;0;71;2;1252;2633512;30759
2021-03-22;Midtjylland;M;19358;193;18338;1040;497781;72;0;54;2;1480;1998074;27662
2021-03-22;NA;;0;0;0;0;21;0;0;0;0;0;33;0
2021-03-22;NA;F;704;0;662;41;30428;1;0;4;0;550;70726;1023
2021-03-22;NA;M;1541;2;1408;95;61596;14;0;5;0;998;136101;1935
2021-03-22;Nordjylland;F;7656;69;7322;362;246709;17;0;15;1;309;1356168;14242
2021-03-22;Nordjylland;M;7655;110;7204;454;238561;24;1;19;1;410;1028760;12791
2021-03-22;Sjælland;F;16311;172;15554;1041;328374;30;0;38;1;647;1717726;15008
2021-03-22;Sjælland;M;14985;217;14163;1236;308653;37;0;45;1;870;1279087;14555
2021-03-22;Syddanmark;F;15849;96;14630;714;486570;83;0;55;3;1230;2525719;28014
2021-03-22;Syddanmark;M;16066;113;14810;815;463831;81;0;67;5;1499;1957924;25938
