"Kommune";"Bekræftede tilfælde de seneste 7 dage";"Testede de seneste 7 dage";"Positivprocent 7 dage"
101;832;159694;0,52
147;81;26631;0,30
151;119;14453;0,82
153;116;8463;1,37
155;12;4175;0,29
157;35;17953;0,19
159;109;17610;0,62
161;32;6072;0,53
163;36;7862;0,46
165;47;7203;0,65
167;39;12411;0,31
169;127;13786;0,92
173;30;14256;0,21
175;58;9800;0,59
183;82;6465;1,27
185;44;11207;0,39
187;37;4475;0,83
190;57;11290;0,50
201;20;7622;0,26
210;73;10186;0,72
217;92;15202;0,61
219;51;14090;0,36
223;41;6697;0,61
230;29;14132;0,21
240;26;12916;0,20
250;30;11345;0,26
253;46;11957;0,38
259;57;14520;0,39
260;30;7577;0,40
265;65;23861;0,27
269;13;6225;0,21
270;40;9735;0,41
306;30;6874;0,44
316;68;19346;0,35
320;28;9104;0,31
326;19;11386;0,17
329;29;8283;0,35
330;77;20177;0,38
336;12;5237;0,23
340;11;7640;0,14
350;52;7331;0,71
360;14;9022;0,16
370;63;22333;0,28
376;25;14349;0,17
390;11;9616;0,11
400;17;18722;0,09
410;25;10864;0,23
411;0;13;0,00
420;15;9915;0,15
430;51;14907;0,34
440;44;6489;0,68
450;19;8534;0,22
461;268;57845;0,46
479;39;16493;0,24
480;27;7456;0,36
482;2;2493;0,08
492;0;1296;0,00
510;71;15415;0,46
530;37;7522;0,49
540;20;18649;0,11
550;28;8507;0,33
561;155;31792;0,49
563;0;1101;0,00
573;16;12133;0,13
575;37;10170;0,36
580;60;17605;0,34
607;44;13135;0,33
615;90;23572;0,38
621;129;30707;0,42
630;210;30940;0,68
657;86;22561;0,38
661;22;14744;0,15
665;5;4364;0,11
671;8;4735;0,17
706;8;9751;0,08
707;5;7762;0,06
710;33;11986;0,28
727;4;5770;0,07
730;132;24699;0,53
740;50;23935;0,21
741;0;575;0,00
746;58;16509;0,35
751;200;80574;0,25
756;17;9172;0,19
760;19;13155;0,14
766;43;11795;0,36
773;19;4617;0,41
779;9;9970;0,09
787;28;10984;0,25
791;45;23470;0,19
810;3;9211;0,03
813;18;15512;0,12
820;27;8176;0,33
825;0;348;0,00
840;23;7826;0,29
846;27;10571;0,26
849;22;9246;0,24
851;155;56431;0,27
860;35;16665;0,21
