"Dato";"Region";"Køn";"Bekræftede tilfælde";"Døde";"Overstået infektion";"Indlæggelser";"Testede personer";"Ændring i antal bekræftede tilfælde";"Ændring i antal døde";"Ændring i antal overstået infektion";"Ændring i antal indlagte";"Ændring i antallet af testede personer";"Antallet af prøver";"Ændring i antallet af prøver";"test_AG";"test_AG_diff"
2021-03-29;Hovedstaden;F;55757;616;53087;3202;777212;177;0;93;11;714;4384536;24223;524546;16545
2021-03-29;Hovedstaden;M;52213;671;49311;3335;717837;168;0;118;5;782;3259329;20816;493776;15021
2021-03-29;Midtjylland;F;20084;149;19345;855;516578;43;0;33;3;617;2578701;17980;295170;5629
2021-03-29;Midtjylland;M;19248;193;18421;1060;484806;48;0;37;0;657;1893546;15504;297158;5456
2021-03-29;NA;;0;0;0;0;21;0;0;0;0;0;33;0;0;0
2021-03-29;NA;F;668;0;646;41;17272;1;0;2;0;60;53722;281;26015;840
2021-03-29;NA;M;1445;2;1345;98;30364;7;0;0;0;78;89615;461;65450;1382
2021-03-29;Nordjylland;F;7624;69;7359;366;244167;18;0;13;1;152;1335074;8509;130456;1714
2021-03-29;Nordjylland;M;7622;109;7234;460;234359;23;0;10;0;182;983095;7233;132535;1848
2021-03-29;Sjælland;F;16384;174;15725;1051;319578;32;0;25;2;267;1678702;7813;197782;5060
2021-03-29;Sjælland;M;15072;221;14305;1251;297482;43;1;22;4;375;1209490;7169;198312;4728
2021-03-29;Syddanmark;F;16184;96;15055;737;472765;70;0;63;1;512;2444623;15151;339234;7427
2021-03-29;Syddanmark;M;16391;115;15238;839;446515;49;0;65;4;610;1848426;13522;322443;6752
