"Kommune";"Bekræftede tilfælde de seneste 7 dage";"Testede de seneste 7 dage";"Positivprocent 7 dage"
101;799;89525;0,89
147;83;12247;0,68
151;119;12099;0,98
153;103;5363;1,92
155;7;2248;0,31
157;35;9707;0,36
159;104;11634;0,89
161;28;3685;0,76
163;37;4902;0,75
165;35;4118;0,85
167;48;8647;0,56
169;128;11146;1,15
173;44;7285;0,60
175;70;6108;1,15
183;74;4970;1,49
185;47;8063;0,58
187;33;2754;1,20
190;67;6512;1,03
201;13;4136;0,31
210;80;5754;1,39
217;84;7603;1,10
219;43;10278;0,42
223;34;3186;1,07
230;28;7134;0,39
240;30;8439;0,36
250;31;6413;0,48
253;45;8213;0,55
259;45;7863;0,57
260;40;3530;1,13
265;57;15470;0,37
269;21;3738;0,56
270;42;5691;0,74
306;20;3824;0,52
316;68;11765;0,58
320;22;5333;0,41
326;8;5409;0,15
329;25;4261;0,59
330;71;12635;0,56
336;11;2903;0,38
340;5;4244;0,12
350;49;4911;1,00
360;10;6128;0,16
370;52;14620;0,36
376;21;9297;0,23
390;14;5736;0,24
400;3;7449;0,04
410;13;6507;0,20
411;0;2;0,00
420;16;5960;0,27
430;46;9192;0,50
440;39;3806;1,02
450;27;5245;0,51
461;251;39634;0,63
479;44;10680;0,41
480;16;4414;0,36
482;1;1739;0,06
492;0;706;0,00
510;63;7786;0,81
530;39;5173;0,75
540;19;13426;0,14
550;23;5138;0,45
561;141;22731;0,62
563;0;827;0,00
573;14;6913;0,20
575;33;5045;0,65
580;49;11984;0,41
607;38;8734;0,44
615;63;16718;0,38
621;103;18852;0,55
630;177;21814;0,81
657;55;14257;0,39
661;12;10206;0,12
665;4;2740;0,15
671;5;3402;0,15
706;5;5895;0,08
707;5;4389;0,11
710;29;8468;0,34
727;2;3878;0,05
730;120;14636;0,82
740;27;14330;0,19
741;0;266;0,00
746;42;12026;0,35
751;160;50838;0,31
756;13;6459;0,20
760;12;7222;0,17
766;44;8371;0,53
773;8;2838;0,28
779;8;6529;0,12
787;6;6893;0,09
791;40;16020;0,25
810;2;6013;0,03
813;14;10241;0,14
820;14;4332;0,32
825;0;228;0,00
840;13;4927;0,26
846;28;7110;0,39
849;15;5941;0,25
851;130;39070;0,33
860;31;11325;0,27
