"Dato";"Region";"Køn";"Bekræftede tilfælde";"Døde";"Overstået infektion";"Indlæggelser";"Testede personer";"Ændring i antal bekræftede tilfælde";"Ændring i antal døde";"Ændring i antal overstået infektion";"Ændring i antal indlagte";"Ændring i antallet af testede personer";"Antallet af prøver";"Ændring i antallet af prøver"
2021-03-18;Hovedstaden;F;54150;613;51911;3144;782749;132;1;119;6;2025;4312617;55814
2021-03-18;Hovedstaden;M;50609;667;48162;3241;726065;182;0;124;3;2231;3260319;44767
2021-03-18;Midtjylland;F;19894;148;18994;830;521629;54;0;40;2;1669;2506515;32485
2021-03-18;Midtjylland;M;19167;193;18148;1034;492434;66;0;42;2;1685;1895866;25025
2021-03-18;NA;;0;0;0;0;21;0;0;0;0;0;33;0
2021-03-18;NA;F;692;0;648;41;28597;-1;0;2;0;362;66483;1046
2021-03-18;NA;M;1496;2;1377;94;58286;16;0;11;2;810;128012;2602
2021-03-18;Nordjylland;F;7595;69;7259;360;245575;18;0;11;0;489;1297473;15791
2021-03-18;Nordjylland;M;7576;109;7139;451;237130;27;0;13;0;523;982356;11310
2021-03-18;Sjælland;F;16144;172;15399;1031;324953;42;0;46;4;1188;1632477;25519
2021-03-18;Sjælland;M;14809;216;13979;1228;304725;52;0;44;2;1265;1209909;19458
2021-03-18;Syddanmark;F;15538;95;14425;703;482091;100;0;79;2;1846;2401707;39871
2021-03-18;Syddanmark;M;15745;113;14521;798;458584;98;0;75;5;2006;1856182;30724
