"Dato";"Region";"Køn";"Bekræftede tilfælde";"Døde";"Overstået infektion";"Indlæggelser";"Testede personer";"Ændring i antal bekræftede tilfælde";"Ændring i antal døde";"Ændring i antal overstået infektion";"Ændring i antal indlagte";"Ændring i antallet af testede personer";"Antallet af prøver";"Ændring i antallet af prøver";"test_AG";"test_AG_diff"
2021-03-30;Hovedstaden;F;55990;616;53280;3212;778150;233;0;193;10;938;4412824;28288;548180;23634
2021-03-30;Hovedstaden;M;52504;672;49559;3344;719040;291;1;248;8;1203;3284852;25523;514570;20794
2021-03-30;Midtjylland;F;20179;149;19426;858;517261;95;0;81;2;683;2595867;17166;308814;13644
2021-03-30;Midtjylland;M;19340;193;18507;1066;485718;92;0;86;7;912;1908912;15366;309053;11895
2021-03-30;NA;;0;0;0;0;21;0;0;0;0;0;33;0;0;0
2021-03-30;NA;F;679;0;658;41;17643;11;0;12;0;371;54539;817;26807;792
2021-03-30;NA;M;1500;3;1399;99;31066;55;1;54;1;702;91625;2010;67365;1915
2021-03-30;Nordjylland;F;7643;69;7376;371;244362;19;0;17;3;195;1343651;8577;134256;3800
2021-03-30;Nordjylland;M;7642;109;7254;462;234602;20;0;20;2;243;990599;7504;136366;3831
2021-03-30;Sjælland;F;16420;174;15777;1053;319908;36;0;52;2;330;1686600;7898;205795;8013
2021-03-30;Sjælland;M;15146;221;14378;1254;297934;74;0;73;2;452;1217298;7808;205757;7445
2021-03-30;Syddanmark;F;16315;96;15221;743;473494;131;0;166;7;729;2463602;18979;354847;15613
2021-03-30;Syddanmark;M;16544;115;15411;841;447571;153;0;173;2;1056;1867399;18973;337002;14559
