"Kommune";"Bekræftede tilfælde de seneste 7 dage";"Testede de seneste 7 dage";"Positivprocent 7 dage"
101;793;158463;0,50
147;67;26239;0,26
151;124;14108;0,88
153;102;8568;1,19
155;12;3882;0,31
157;29;17880;0,16
159;115;17952;0,64
161;39;6179;0,63
163;38;7943;0,48
165;46;7505;0,61
167;37;12451;0,30
169;126;13916;0,91
173;30;14365;0,21
175;57;9867;0,58
183;79;6507;1,21
185;50;11548;0,43
187;37;4425;0,84
190;54;11335;0,48
201;21;7849;0,27
210;65;10264;0,63
217;86;15291;0,56
219;51;14318;0,36
223;38;6729;0,56
230;31;14279;0,22
240;27;12666;0,21
250;29;11406;0,25
253;46;12392;0,37
259;54;15500;0,35
260;15;7852;0,19
265;63;24308;0,26
269;12;6592;0,18
270;37;9979;0,37
306;31;7334;0,42
316;75;19863;0,38
320;24;9673;0,25
326;22;11891;0,19
329;33;9045;0,36
330;77;20211;0,38
336;13;5640;0,23
340;12;8142;0,15
350;49;7662;0,64
360;13;9136;0,14
370;66;23080;0,29
376;29;14692;0,20
390;12;10486;0,11
400;18;18835;0,10
410;26;11135;0,23
411;0;13;0,00
420;14;11054;0,13
430;51;15019;0,34
440;42;5940;0,71
450;16;8645;0,19
461;270;58480;0,46
479;34;16794;0,20
480;31;7683;0,40
482;2;2559;0,08
492;0;1364;0,00
510;71;15834;0,45
530;32;7524;0,43
540;20;19348;0,10
550;23;8849;0,26
561;168;31072;0,54
563;0;1127;0,00
573;13;12351;0,11
575;31;11295;0,27
580;56;18237;0,31
607;36;13989;0,26
615;89;23698;0,38
621;135;31645;0,43
630;220;31676;0,69
657;79;22744;0,35
661;23;15078;0,15
665;2;4452;0,04
671;5;4928;0,10
706;8;10001;0,08
707;4;7963;0,05
710;31;12096;0,26
727;6;5824;0,10
730;139;25100;0,55
740;54;24129;0,22
741;0;643;0,00
746;56;16632;0,34
751;201;80161;0,25
756;14;9481;0,15
760;18;13686;0,13
766;38;11863;0,32
773;23;5292;0,43
779;13;10316;0,13
787;28;11372;0,25
791;37;23770;0,16
810;4;9001;0,04
813;14;15085;0,09
820;25;7765;0,32
825;0;352;0,00
840;25;7841;0,32
846;27;10584;0,26
849;20;8804;0,23
851;150;55384;0,27
860;24;16064;0,15
