"Dato";"Region";"Køn";"Bekræftede tilfælde";"Døde";"Overstået infektion";"Indlæggelser";"Testede personer";"Ændring i antal bekræftede tilfælde";"Ændring i antal døde";"Ændring i antal overstået infektion";"Ændring i antal indlagte";"Ændring i antallet af testede personer";"Antallet af prøver";"Ændring i antallet af prøver";"test_AG";"test_AG_diff"
2021-04-09;Hovedstaden;F;57570;621;54834;3296;786923;152;0;171;4;841;4726485;33757;826089;36179
2021-04-09;Hovedstaden;M;54159;678;51248;3442;728614;187;0;176;10;823;3533525;25812;770790;33484
2021-04-09;Midtjylland;F;20667;149;19863;876;525914;58;0;37;3;828;2806732;22167;471079;29095
2021-04-09;Midtjylland;M;19825;195;18994;1089;494444;57;0;42;1;912;2066761;15903;460131;27173
2021-04-09;NA;;0;0;0;0;23;0;0;0;0;0;35;0;0;0
2021-04-09;NA;F;711;0;677;44;18779;3;0;2;0;81;59479;440;36644;1006
2021-04-09;NA;M;1597;3;1503;103;33009;9;0;7;1;131;101861;839;86335;1845
2021-04-09;Nordjylland;F;7847;69;7524;378;246705;30;0;8;1;242;1440158;10838;200466;12772
2021-04-09;Nordjylland;M;7893;109;7463;474;237219;32;0;21;2;279;1061526;7637;198266;11423
2021-04-09;Sjælland;F;16737;179;16133;1077;324812;32;0;30;7;505;1824029;13975;322485;19192
2021-04-09;Sjælland;M;15495;221;14779;1273;303040;43;0;35;2;522;1323509;10266;313703;17766
2021-04-09;Syddanmark;F;16831;96;15998;768;481821;48;0;58;1;738;2686186;23978;546737;30413
2021-04-09;Syddanmark;M;17014;116;16239;863;456312;47;0;60;2;807;2041311;18063;508243;27413
