"Kommune";"Bekræftede tilfælde de seneste 7 dage";"Testede de seneste 7 dage";"Positivprocent 7 dage"
101;616;130342;0,47
147;96;21261;0,45
151;64;10386;0,62
153;58;6450;0,90
155;8;3097;0,26
157;29;13090;0,22
159;101;12939;0,78
161;23;4865;0,47
163;34;6614;0,51
165;41;5248;0,78
167;52;10493;0,50
169;114;10291;1,11
173;28;10470;0,27
175;31;7681;0,40
183;57;5954;0,96
185;42;8956;0,47
187;21;3312;0,63
190;33;8437;0,39
201;17;5844;0,29
210;66;8293;0,80
217;81;11412;0,71
219;60;10373;0,58
223;8;4319;0,19
230;17;10736;0,16
240;62;11334;0,55
250;22;7769;0,28
253;68;9675;0,70
259;37;10301;0,36
260;5;5163;0,10
265;89;18620;0,48
269;12;4556;0,26
270;7;6739;0,10
306;15;4863;0,31
316;70;13892;0,50
320;9;6508;0,14
326;23;7717;0,30
329;48;6016;0,80
330;60;14309;0,42
336;5;3803;0,13
340;20;5434;0,37
350;11;5258;0,21
360;6;6646;0,09
370;107;16541;0,65
376;35;11523;0,30
390;36;7327;0,49
400;16;14439;0,11
410;5;7468;0,07
411;0;7;0,00
420;5;7497;0,07
430;30;10657;0,28
440;11;4625;0,24
450;46;7599;0,61
461;192;47868;0,40
479;8;13018;0,06
480;29;6381;0,45
482;9;2112;0,43
492;1;920;0,11
510;33;10790;0,31
530;18;5727;0,31
540;26;14725;0,18
550;12;6396;0,19
561;195;22533;0,87
563;1;914;0,11
573;18;8918;0,20
575;20;7545;0,27
580;46;13457;0,34
607;29;10322;0,28
615;110;16635;0,66
621;151;28866;0,52
630;170;25724;0,66
657;33;16031;0,21
661;27;12122;0,22
665;6;3297;0,18
671;9;4125;0,22
706;22;6841;0,32
707;19;5611;0,34
710;20;9368;0,21
727;19;3998;0,48
730;134;16983;0,79
740;56;17588;0,32
741;1;365;0,27
746;40;12095;0,33
751;215;61328;0,35
756;12;7361;0,16
760;45;10564;0,43
766;35;9182;0,38
773;5;3503;0,14
779;33;8078;0,41
787;35;9406;0,37
791;53;19597;0,27
810;8;7417;0,11
813;13;10977;0,12
820;17;5509;0,31
825;0;260;0,00
840;12;6184;0,19
846;24;8991;0,27
849;19;7435;0,26
851;118;46409;0,25
860;15;13867;0,11
