"Kommune";"Bekræftede tilfælde de seneste 7 dage";"Testede de seneste 7 dage";"Positivprocent 7 dage"
101;622;89386;0,70
147;61;12314;0,50
151;42;8661;0,48
153;45;5145;0,87
155;7;2391;0,29
157;42;9157;0,46
159;64;9727;0,66
161;33;3926;0,84
163;37;5496;0,67
165;23;3827;0,60
167;58;9621;0,60
169;85;9197;0,92
173;26;7377;0,35
175;34;6007;0,57
183;46;4732;0,97
185;45;7149;0,63
187;21;2233;0,94
190;30;6297;0,48
201;12;4303;0,28
210;76;5370;1,42
217;57;7550;0,75
219;43;9265;0,46
223;6;2481;0,24
230;18;7803;0,23
240;64;8076;0,79
250;16;6341;0,25
253;51;7947;0,64
259;36;8217;0,44
260;7;2867;0,24
265;80;14267;0,56
269;13;4007;0,32
270;12;5482;0,22
306;18;4093;0,44
316;58;10551;0,55
320;12;6341;0,19
326;12;5401;0,22
329;19;4535;0,42
330;50;11493;0,44
336;2;3394;0,06
340;13;4582;0,28
350;10;4378;0,23
360;8;5657;0,14
370;100;14224;0,70
376;43;9051;0,48
390;40;6517;0,61
400;4;8510;0,05
410;4;5526;0,07
411;0;3;0,00
420;4;5525;0,07
430;19;7591;0,25
440;8;4532;0,18
450;38;5839;0,65
461;211;36622;0,58
479;8;9792;0,08
480;12;4002;0,30
482;6;1822;0,33
492;1;809;0,12
510;25;7280;0,34
530;16;4404;0,36
540;16;11321;0,14
550;13;4855;0,27
561;108;17213;0,63
563;1;719;0,14
573;17;6859;0,25
575;17;5789;0,29
580;22;11459;0,19
607;25;7518;0,33
615;59;13838;0,43
621;135;19960;0,68
630;168;20013;0,84
657;20;11892;0,17
661;2;10353;0,02
665;2;2687;0,07
671;4;3213;0,12
706;2;5462;0,04
707;6;4319;0,14
710;1;7682;0,01
727;11;3479;0,32
730;58;12618;0,46
740;42;13975;0,30
741;0;275;0,00
746;18;10425;0,17
751;105;49303;0,21
756;0;5853;0,00
760;33;7171;0,46
766;44;7655;0,57
773;0;3022;0,00
779;7;5871;0,12
787;16;7219;0,22
791;25;15226;0,16
810;5;5173;0,10
813;2;10638;0,02
820;1;4946;0,02
825;0;241;0,00
840;1;4640;0,02
846;14;6691;0,21
849;7;5067;0,14
851;111;36076;0,31
860;1;11104;0,01
