"Kommune";"Bekræftede tilfælde de seneste 7 dage";"Testede de seneste 7 dage";"Positivprocent 7 dage"
101;837;94490;0,89
147;127;13316;0,95
151;48;10824;0,44
153;64;4979;1,29
155;9;2533;0,36
157;53;10347;0,51
159;86;12871;0,67
161;36;3844;0,94
163;23;4613;0,50
165;54;4167;1,30
167;58;9077;0,64
169;118;10418;1,13
173;46;7409;0,62
175;90;5774;1,56
183;97;4531;2,14
185;41;7941;0,52
187;20;2786;0,72
190;42;7262;0,58
201;12;4210;0,29
210;55;5541;0,99
217;80;7864;1,02
219;33;10191;0,32
223;40;3146;1,27
230;46;7441;0,62
240;41;8026;0,51
250;35;5654;0,62
253;65;8816;0,74
259;62;7523;0,82
260;71;4966;1,43
265;61;15698;0,39
269;15;4169;0,36
270;13;5378;0,24
306;10;3119;0,32
316;33;10881;0,30
320;18;4797;0,38
326;15;4528;0,33
329;31;3781;0,82
330;32;11494;0,28
336;11;2409;0,46
340;12;3976;0,30
350;13;4739;0,27
360;45;5874;0,77
370;20;14101;0,14
376;17;8435;0,20
390;6;5295;0,11
400;3;5442;0,06
410;18;6351;0,28
411;0;4;0,00
420;13;4788;0,27
430;19;8643;0,22
440;13;4269;0,30
450;11;5811;0,19
461;180;40308;0,45
479;47;13611;0,35
480;18;4509;0,40
482;3;1624;0,18
492;0;667;0,00
510;9;6372;0,14
530;8;4512;0,18
540;27;12474;0,22
550;15;4507;0,33
561;77;20063;0,38
563;0;560;0,00
573;11;6633;0,17
575;22;5162;0,43
580;21;11178;0,19
607;44;7680;0,57
615;52;15635;0,33
621;42;16230;0,26
630;91;19275;0,47
657;40;13964;0,29
661;4;10624;0,04
665;4;2518;0,16
671;3;3118;0,10
706;16;5518;0,29
707;15;3932;0,38
710;32;8085;0,40
727;14;3639;0,38
730;104;13587;0,77
740;36;13892;0,26
741;0;89;0,00
746;17;11446;0,15
751;236;51544;0,46
756;4;6079;0,07
760;27;7236;0,37
766;24;7992;0,30
773;21;2693;0,78
779;8;5718;0,14
787;19;6355;0,30
791;51;14831;0,34
810;5;5189;0,10
813;35;10028;0,35
820;23;4595;0,50
825;0;159;0,00
840;8;4338;0,18
846;30;5651;0,53
849;19;4773;0,40
851;105;37957;0,28
860;41;10774;0,38
