"Dato";"Region";"Køn";"Bekræftede tilfælde";"Døde";"Overstået infektion";"Indlæggelser";"Testede personer";"Ændring i antal bekræftede tilfælde";"Ændring i antal døde";"Ændring i antal overstået infektion";"Ændring i antal indlagte";"Ændring i antallet af testede personer";"Antallet af prøver";"Ændring i antallet af prøver";"test_AG";"test_AG_diff"
2021-04-08;Hovedstaden;F;57418;621;54663;3292;786082;136;0;202;4;1015;4692728;36079;789910;34867
2021-04-08;Hovedstaden;M;53972;678;51072;3432;727791;178;0;185;11;1022;3507713;24409;737306;31668
2021-04-08;Midtjylland;F;20609;149;19826;873;525086;59;0;50;1;1724;2784565;32586;441984;21122
2021-04-08;Midtjylland;M;19768;195;18952;1088;493532;72;1;56;4;1351;2050858;20650;432958;19822
2021-04-08;NA;;0;0;0;0;23;0;0;0;0;0;35;0;0;0
2021-04-08;NA;F;708;0;675;44;18698;4;0;0;1;77;59039;534;35638;966
2021-04-08;NA;M;1588;3;1496;102;32878;14;0;9;0;140;101022;912;84490;2384
2021-04-08;Nordjylland;F;7817;69;7516;377;246463;27;0;18;2;375;1429320;12220;187694;10599
2021-04-08;Nordjylland;M;7861;109;7442;472;236940;32;0;24;2;323;1053889;7761;186843;9674
2021-04-08;Sjælland;F;16705;179;16103;1071;324307;36;0;37;2;684;1810054;18987;303293;16662
2021-04-08;Sjælland;M;15452;221;14744;1271;302518;32;0;41;1;598;1313243;11197;295937;15366
2021-04-08;Syddanmark;F;16783;96;15940;769;481083;59;0;80;1;1167;2662208;28859;516324;26016
2021-04-08;Syddanmark;M;16967;116;16179;861;455505;68;0;82;1;1048;2023248;20117;480830;22588
