"Kommune";"Bekræftede tilfælde de seneste 7 dage";"Testede de seneste 7 dage";"Positivprocent 7 dage"
101;884;94594;0,93
147;123;13259;0,93
151;100;11252;0,89
153;82;5736;1,43
155;14;2671;0,52
157;43;10220;0,42
159;169;12199;1,39
161;33;4122;0,80
163;30;4880;0,61
165;39;4158;0,94
167;87;8853;0,98
169;123;11072;1,11
173;52;7846;0,66
175;70;6372;1,10
183;83;5282;1,57
185;49;7552;0,65
187;24;2926;0,82
190;82;7459;1,10
201;13;4341;0,30
210;81;5713;1,42
217;111;7950;1,40
219;40;9924;0,40
223;40;3049;1,31
230;35;7515;0,47
240;37;8130;0,46
250;38;6099;0,62
253;60;8188;0,73
259;51;7779;0,66
260;75;4084;1,84
265;61;15087;0,40
269;27;3827;0,71
270;39;5457;0,71
306;11;3892;0,28
316;89;11320;0,79
320;23;5117;0,45
326;12;5347;0,22
329;33;4076;0,81
330;45;12162;0,37
336;6;2739;0,22
340;7;4151;0,17
350;22;4930;0,45
360;23;6174;0,37
370;55;13814;0,40
376;10;8888;0,11
390;13;5437;0,24
400;2;7039;0,03
410;12;6457;0,19
411;0;3;0,00
420;21;4965;0,42
430;33;8766;0,38
440;23;4861;0,47
450;34;5511;0,62
461;219;40220;0,54
479;62;10746;0,58
480;18;4410;0,41
482;5;1645;0,30
492;0;666;0,00
510;45;7245;0,62
530;40;5369;0,75
540;26;13472;0,19
550;11;4864;0,23
561;119;19080;0,62
563;2;755;0,26
573;15;6676;0,22
575;28;5086;0,55
580;42;11870;0,35
607;28;8522;0,33
615;74;15773;0,47
621;75;18420;0,41
630;179;21852;0,82
657;39;13066;0,30
661;11;9641;0,11
665;11;2775;0,40
671;5;3380;0,15
706;17;5505;0,31
707;8;4053;0,20
710;19;8682;0,22
727;9;3588;0,25
730;139;14008;0,99
740;38;13831;0,27
741;0;216;0,00
746;31;11638;0,27
751;204;53578;0,38
756;14;6084;0,23
760;17;7390;0,23
766;30;8223;0,36
773;4;3022;0,13
779;7;6183;0,11
787;6;6560;0,09
791;49;14991;0,33
810;10;5497;0,18
813;25;10787;0,23
820;24;4617;0,52
825;0;190;0,00
840;5;4470;0,11
846;25;6214;0,40
849;10;5509;0,18
851;110;38709;0,28
860;35;11596;0,30
