"Kommune";"Bekræftede tilfælde de seneste 7 dage";"Testede de seneste 7 dage";"Positivprocent 7 dage"
101;920;94541;0,97
147;117;13561;0,86
151;100;10901;0,92
153;84;5848;1,44
155;14;2690;0,52
157;41;10067;0,41
159;160;11951;1,34
161;34;4123;0,82
163;26;4836;0,54
165;41;4214;0,97
167;84;8937;0,94
169;137;10740;1,28
173;48;7790;0,62
175;72;6286;1,15
183;87;5213;1,67
185;43;7494;0,57
187;19;2794;0,68
190;78;7859;0,99
201;16;4417;0,36
210;83;5645;1,47
217;96;7892;1,22
219;41;9525;0,43
223;45;3169;1,42
230;36;7690;0,47
240;38;7933;0,48
250;38;5766;0,66
253;63;8409;0,75
259;59;8004;0,74
260;82;4168;1,97
265;62;14978;0,41
269;23;3829;0,60
270;33;5475;0,60
306;10;3702;0,27
316;81;10684;0,76
320;23;4716;0,49
326;14;5053;0,28
329;32;4197;0,76
330;43;11242;0,38
336;6;2666;0,23
340;9;3862;0,23
350;17;4801;0,35
360;27;5987;0,45
370;48;13628;0,35
376;14;8662;0,16
390;9;5775;0,16
400;1;6733;0,01
410;10;6205;0,16
411;0;3;0,00
420;21;5822;0,36
430;33;7808;0,42
440;16;4668;0,34
450;31;5570;0,56
461;211;40559;0,52
479;62;12156;0,51
480;20;3770;0,53
482;5;1686;0,30
492;0;660;0,00
510;36;7329;0,49
530;35;5073;0,69
540;27;13353;0,20
550;13;4852;0,27
561;107;18078;0,59
563;2;759;0,26
573;16;5488;0,29
575;25;5808;0,43
580;41;11842;0,35
607;26;8456;0,31
615;80;15247;0,52
621;71;18260;0,39
630;164;21175;0,77
657;38;12809;0,30
661;10;9704;0,10
665;10;2772;0,36
671;2;3282;0,06
706;19;5425;0,35
707;6;3964;0,15
710;25;8416;0,30
727;11;3560;0,31
730;130;13737;0,95
740;39;13609;0,29
741;0;263;0,00
746;28;11338;0,25
751;209;53167;0,39
756;11;6071;0,18
760;20;7054;0,28
766;23;7833;0,29
773;3;3242;0,09
779;4;5969;0,07
787;7;6119;0,11
791;39;14382;0,27
810;10;6015;0,17
813;24;10819;0,22
820;21;4650;0,45
825;0;150;0,00
840;4;3914;0,10
846;21;6556;0,32
849;12;5281;0,23
851;108;38438;0,28
860;32;11101;0,29
