"Dato";"Region";"Køn";"Bekræftede tilfælde";"Døde";"Overstået infektion";"Indlæggelser";"Testede personer";"Ændring i antal bekræftede tilfælde";"Ændring i antal døde";"Ændring i antal overstået infektion";"Ændring i antal indlagte";"Ændring i antallet af testede personer";"Antallet af prøver";"Ændring i antallet af prøver"
2021-03-23;Hovedstaden;F;54944;614;52508;3167;790174;159;0;125;12;1360;4572932;52498
2021-03-23;Hovedstaden;M;51481;669;48751;3281;734666;184;1;144;13;1660;3478439;46378
2021-03-23;Midtjylland;F;20131;148;19276;837;527314;61;0;68;3;1122;2666449;32937
2021-03-23;Midtjylland;M;19413;193;18431;1041;498988;55;0;93;1;1207;2027499;29425
2021-03-23;NA;;0;0;0;0;21;0;0;0;0;0;33;0
2021-03-23;NA;F;704;0;664;41;30772;0;0;2;0;344;71810;1084
2021-03-23;NA;M;1562;2;1420;96;62473;21;0;12;1;877;138787;2686
2021-03-23;Nordjylland;F;7685;69;7346;362;246978;29;0;24;0;269;1373471;17303
2021-03-23;Nordjylland;M;7688;110;7231;455;238940;33;0;27;1;379;1043949;15189
2021-03-23;Sjælland;F;16332;172;15607;1044;329133;21;0;53;2;759;1736564;18838
2021-03-23;Sjælland;M;15027;217;14198;1239;309505;42;0;35;2;852;1297044;17957
2021-03-23;Syddanmark;F;15922;96;14701;717;487753;73;0;71;3;1183;2559715;33996
2021-03-23;Syddanmark;M;16142;113;14902;817;465186;76;0;92;2;1355;1988630;30706
