"Kommune";"Bekræftede tilfælde de seneste 7 dage";"Testede de seneste 7 dage";"Positivprocent 7 dage"
101;826;99795;0,83
147;108;14034;0,77
151;59;11336;0,52
153;50;5139;0,97
155;9;2583;0,35
157;54;11371;0,47
159;69;12078;0,57
161;16;3776;0,42
163;32;5173;0,62
165;63;4669;1,35
167;72;9464;0,76
169;129;11532;1,12
173;58;8690;0,67
175;90;6460;1,39
183;90;4827;1,86
185;42;8307;0,51
187;17;3055;0,56
190;45;7278;0,62
201;21;4623;0,45
210;45;5758;0,78
217;104;8990;1,16
219;22;11193;0,20
223;26;3282;0,79
230;42;7993;0,53
240;48;8632;0,56
250;25;6847;0,37
253;77;9989;0,77
259;50;9578;0,52
260;33;4197;0,79
265;52;16902;0,31
269;16;4730;0,34
270;25;6376;0,39
306;14;4278;0,33
316;42;11733;0,36
320;18;6109;0,29
326;15;5776;0,26
329;25;4764;0,52
330;39;12768;0,31
336;15;3276;0,46
340;6;4596;0,13
350;8;5317;0,15
360;45;7746;0,58
370;40;14685;0,27
376;24;9932;0,24
390;19;6567;0,29
400;3;6462;0,05
410;25;5699;0,44
411;0;7;0,00
420;17;6000;0,28
430;18;9781;0,18
440;8;4336;0,18
450;5;5172;0,10
461;108;41524;0,26
479;56;12517;0,45
480;20;4622;0,43
482;1;2277;0,04
492;0;717;0,00
510;17;7360;0,23
530;12;4885;0,25
540;31;14158;0,22
550;10;5915;0,17
561;49;21273;0,23
563;0;736;0,00
573;36;7697;0,47
575;36;6565;0,55
580;13;12669;0,10
607;51;8604;0,59
615;68;16647;0,41
621;45;17203;0,26
630;92;21572;0,43
657;105;16161;0,65
661;11;12342;0,09
665;5;3232;0,15
671;4;4102;0,10
706;22;6974;0,32
707;29;4860;0,60
710;13;9998;0,13
727;7;4085;0,17
730;64;15869;0,40
740;42;16224;0,26
741;0;283;0,00
746;13;12690;0,10
751;203;57322;0,35
756;22;7683;0,29
760;11;8946;0,12
766;21;8756;0,24
773;15;3820;0,39
779;9;7367;0,12
787;17;7518;0,23
791;54;18333;0,29
810;24;6029;0,40
813;16;12034;0,13
820;28;5382;0,52
825;0;231;0,00
840;19;4660;0,41
846;28;7039;0,40
849;32;6146;0,52
851;170;36973;0,46
860;29;12909;0,22
