"Dato";"Region";"Køn";"Bekræftede tilfælde";"Døde";"Overstået infektion";"Indlæggelser";"Testede personer";"Ændring i antal bekræftede tilfælde";"Ændring i antal døde";"Ændring i antal overstået infektion";"Ændring i antal indlagte";"Ændring i antallet af testede personer";"Antallet af prøver";"Ændring i antallet af prøver"
2021-03-17;Hovedstaden;F;54018;612;51792;3138;780724;126;0;115;5;1771;4256803;51664
2021-03-17;Hovedstaden;M;50427;667;48038;3237;723834;133;1;133;10;2015;3215552;39914
2021-03-17;Midtjylland;F;19840;148;18954;828;519960;65;0;45;2;1716;2474030;38789
2021-03-17;Midtjylland;M;19101;193;18106;1032;490749;74;0;47;2;1991;1870841;27606
2021-03-17;NA;;0;0;0;0;21;0;0;0;0;1;33;8
2021-03-17;NA;F;693;0;646;41;28235;5;0;4;0;357;65437;1026
2021-03-17;NA;M;1480;2;1366;92;57476;11;0;9;1;756;125410;1981
2021-03-17;Nordjylland;F;7577;69;7248;360;245086;24;0;14;0;526;1281682;18835
2021-03-17;Nordjylland;M;7549;109;7126;451;236607;38;0;12;1;618;971046;13819
2021-03-17;Sjælland;F;16102;172;15353;1026;323765;35;0;44;0;1186;1606958;24106
2021-03-17;Sjælland;M;14757;216;13935;1225;303460;47;0;51;4;1214;1190451;17710
2021-03-17;Syddanmark;F;15438;95;14346;701;480245;105;0;73;2;1937;2361836;41425
2021-03-17;Syddanmark;M;15647;113;14446;795;456578;124;0;81;4;2221;1825458;32426
