"Dato";"Region";"Køn";"Bekræftede tilfælde";"Døde";"Overstået infektion";"Indlæggelser";"Testede personer";"Ændring i antal bekræftede tilfælde";"Ændring i antal døde";"Ændring i antal overstået infektion";"Ændring i antal indlagte";"Ændring i antallet af testede personer";"Antallet af prøver";"Ændring i antallet af prøver"
2021-03-16;Hovedstaden;F;53892;612;51677;3133;778953;115;1;138;5;1770;4205139;45884
2021-03-16;Hovedstaden;M;50294;666;47905;3228;721819;161;0;121;4;2043;3175638;39862
2021-03-16;Midtjylland;F;19775;148;18909;826;518244;48;0;31;3;1636;2435241;28685
2021-03-16;Midtjylland;M;19027;193;18059;1030;488758;69;0;40;2;1826;1843235;26045
2021-03-16;NA;;0;0;0;0;20;0;0;0;0;0;25;0
2021-03-16;NA;F;688;0;642;41;27878;2;0;1;0;366;64411;1099
2021-03-16;NA;M;1469;2;1357;91;56720;9;0;8;0;817;123429;2735
2021-03-16;Nordjylland;F;7553;69;7234;360;244560;25;0;20;0;451;1262847;14344
2021-03-16;Nordjylland;M;7511;109;7114;450;235989;40;0;16;0;517;957227;12863
2021-03-16;Sjælland;F;16067;172;15309;1026;322579;39;1;62;4;1047;1582852;16664
2021-03-16;Sjælland;M;14710;216;13884;1221;302246;33;0;49;4;1361;1172741;15814
2021-03-16;Syddanmark;F;15333;95;14273;698;478308;124;0;62;2;3993;2320411;54059
2021-03-16;Syddanmark;M;15523;113;14365;789;454357;106;0;66;1;4729;1793032;49453
