"Kommune";"Bekræftede tilfælde de seneste 7 dage";"Testede de seneste 7 dage";"Positivprocent 7 dage"
101;765;92675;0,83
147;127;13324;0,95
151;51;10576;0,48
153;53;4659;1,14
155;10;2375;0,42
157;56;10806;0,52
159;86;11690;0,74
161;23;3398;0,68
163;28;4645;0,60
165;54;4279;1,26
167;45;8791;0,51
169;97;10118;0,96
173;51;7932;0,64
175;101;6104;1,65
183;102;4544;2,24
185;35;7855;0,45
187;16;2636;0,61
190;34;6711;0,51
201;14;4454;0,31
210;38;5283;0,72
217;89;7970;1,12
219;21;10484;0,20
223;37;3208;1,15
230;45;7599;0,59
240;41;8171;0,50
250;30;6072;0,49
253;56;8908;0,63
259;41;7822;0,52
260;49;4425;1,11
265;65;15942;0,41
269;14;4102;0,34
270;15;5836;0,26
306;9;3435;0,26
316;36;11023;0,33
320;18;4915;0,37
326;13;5070;0,26
329;28;4080;0,69
330;36;11748;0,31
336;10;2407;0,42
340;9;3921;0,23
350;7;4575;0,15
360;47;6042;0,78
370;34;13906;0,24
376;28;8872;0,32
390;16;5750;0,28
400;2;5901;0,03
410;26;6540;0,40
411;0;4;0,00
420;17;4996;0,34
430;15;9563;0,16
440;10;4905;0,20
450;7;5507;0,13
461;139;41544;0,33
479;43;12273;0,35
480;22;4539;0,48
482;1;1397;0,07
492;0;766;0,00
510;10;6830;0,15
530;6;4678;0,13
540;24;13379;0,18
550;12;5431;0,22
561;73;21574;0,34
563;0;144;0,00
573;19;7100;0,27
575;32;6497;0,49
580;12;11817;0,10
607;51;8249;0,62
615;64;15891;0,40
621;45;16762;0,27
630;82;20279;0,40
657;67;14922;0,45
661;4;11542;0,03
665;5;3138;0,16
671;3;3735;0,08
706;28;6629;0,42
707;28;4458;0,63
710;15;9427;0,16
727;11;3919;0,28
730;86;15139;0,57
740;40;14926;0,27
741;0;135;0,00
746;13;12091;0,11
751;233;54304;0,43
756;14;6870;0,20
760;22;8637;0,25
766;23;8385;0,27
773;17;3033;0,56
779;11;6702;0,16
787;16;6735;0,24
791;64;16197;0,40
810;19;5962;0,32
813;19;10009;0,19
820;21;4999;0,42
825;0;140;0,00
840;11;4465;0,25
846;37;6828;0,54
849;35;5066;0,69
851;132;35638;0,37
860;38;11518;0,33
