"Dato";"Region";"Køn";"Bekræftede tilfælde";"Døde";"Overstået infektion";"Indlæggelser";"Testede personer";"Ændring i antal bekræftede tilfælde";"Ændring i antal døde";"Ændring i antal overstået infektion";"Ændring i antal indlagte";"Ændring i antallet af testede personer";"Antallet af prøver";"Ændring i antallet af prøver";"test_AG";"test_AG_diff"
2021-03-31;Hovedstaden;F;56179;616;53401;3227;778985;189;0;121;16;835;4446762;33938;573579;25399
2021-03-31;Hovedstaden;M;52691;673;49711;3350;719955;187;1;152;7;915;3308077;23225;536918;22348
2021-03-31;Midtjylland;F;20220;149;19471;859;517830;41;0;45;1;569;2616342;20475;322968;14154
2021-03-31;Midtjylland;M;19381;193;18586;1066;486421;41;0;79;0;703;1922756;13844;321672;12619
2021-03-31;NA;;0;0;0;0;22;0;0;0;0;1;34;1;0;0
2021-03-31;NA;F;680;0;659;42;17738;1;0;1;0;95;55035;496;27719;912
2021-03-31;NA;M;1510;3;1401;100;31237;10;0;2;1;171;92567;942;70061;2696
2021-03-31;Nordjylland;F;7654;69;7398;370;244531;11;0;22;1;169;1353509;9858;138393;4137
2021-03-31;Nordjylland;M;7664;109;7278;463;234830;22;0;24;1;228;997230;6631;140373;4007
2021-03-31;Sjælland;F;16459;175;15818;1055;320366;39;1;41;1;458;1701959;15359;214284;8489
2021-03-31;Sjælland;M;15180;221;14429;1258;298402;34;0;51;2;468;1227286;9988;213848;8091
2021-03-31;Syddanmark;F;16388;96;15326;745;474388;73;0;105;1;894;2488195;24593;371674;16827
2021-03-31;Syddanmark;M;16597;115;15507;841;448547;53;0;96;1;976;1885687;18288;351596;14594
