"Dato";"Region";"Køn";"Bekræftede tilfælde";"Døde";"Overstået infektion";"Indlæggelser";"Testede personer";"Ændring i antal bekræftede tilfælde";"Ændring i antal døde";"Ændring i antal overstået infektion";"Ændring i antal indlagte";"Ændring i antallet af testede personer";"Antallet af prøver";"Ændring i antallet af prøver";"test_AG";"test_AG_diff"
2021-04-06;Hovedstaden;F;57121;621;54286;3278;784006;131;1;189;7;1048;4622604;32133;694432;28131
2021-04-06;Hovedstaden;M;53630;677;50675;3404;725690;145;0;218;7;1054;3456321;30940;648072;25890
2021-04-06;Midtjylland;F;20505;149;19700;869;522215;31;0;43;0;1011;2730534;20013;394405;22835
2021-04-06;Midtjylland;M;19654;193;18843;1080;491147;37;0;57;2;814;2013633;15576;388224;21436
2021-04-06;NA;;0;0;0;0;23;0;0;0;0;0;35;0;0;0
2021-04-06;NA;F;703;0;672;43;18540;7;0;5;0;172;58094;647;33595;1072
2021-04-06;NA;M;1569;3;1475;101;32634;22;0;26;0;282;99401;2439;79787;1699
2021-04-06;Nordjylland;F;7764;69;7488;372;245781;18;0;19;0;311;1407660;9595;164449;7921
2021-04-06;Nordjylland;M;7807;109;7394;469;236312;22;0;24;0;257;1039230;7289;165107;7390
2021-04-06;Sjælland;F;16637;178;16025;1065;322901;19;1;39;0;483;1776278;11452;269403;15034
2021-04-06;Sjælland;M;15386;221;14656;1268;301233;19;0;45;2;433;1290041;11906;264109;13603
2021-04-06;Syddanmark;F;16686;96;15785;765;478806;39;0;88;5;1071;2609260;22105;462363;29303
2021-04-06;Syddanmark;M;16855;116;16013;859;453378;30;0;107;1;938;1984245;18091;432768;26712
