"Kommune";"Bekræftede tilfælde de seneste 7 dage";"Testede de seneste 7 dage";"Positivprocent 7 dage"
101;602;130228;0,46
147;60;22980;0,26
151;87;11312;0,77
153;67;6572;1,02
155;13;3430;0,38
157;26;14009;0,19
159;133;15065;0,88
161;22;5176;0,43
163;36;6794;0,53
165;62;6295;0,98
167;49;9793;0,50
169;133;11619;1,14
173;30;11645;0,26
175;36;8673;0,42
183;51;5955;0,86
185;42;9166;0,46
187;34;3790;0,90
190;30;8420;0,36
201;22;5869;0,37
210;47;8241;0,57
217;67;11818;0,57
219;73;12454;0,59
223;13;4516;0,29
230;22;11154;0,20
240;35;11833;0,30
250;21;8752;0,24
253;60;10791;0,56
259;42;12157;0,35
260;2;5858;0,03
265;66;20339;0,32
269;6;5244;0,11
270;9;7158;0,13
306;32;6177;0,52
316;71;17045;0,42
320;12;7628;0,16
326;32;9928;0,32
329;47;7557;0,62
330;96;17118;0,56
336;13;4597;0,28
340;22;6827;0,32
350;21;6219;0,34
360;12;7656;0,16
370;70;19706;0,36
376;24;12478;0,19
390;17;8997;0,19
400;24;15117;0,16
410;12;9010;0,13
411;0;8;0,00
420;9;8545;0,11
430;31;12565;0,25
440;16;5372;0,30
450;32;7555;0,42
461;185;50539;0,37
479;15;14019;0,11
480;25;6988;0,36
482;4;2314;0,17
492;0;936;0,00
510;75;12342;0,61
530;25;6405;0,39
540;28;16555;0,17
550;10;7483;0,13
561;265;24381;1,09
563;0;975;0,00
573;17;9931;0,17
575;17;8589;0,20
580;64;15627;0,41
607;27;11092;0,24
615;106;20323;0,52
621;130;28544;0,46
630;200;28096;0,71
657;26;18190;0,14
661;36;13241;0,27
665;4;3882;0,10
671;8;4303;0,19
706;19;7908;0,24
707;17;6699;0,25
710;19;10310;0,18
727;13;4579;0,28
730;162;20687;0,78
740;55;20061;0,27
741;1;446;0,22
746;44;14065;0,31
751;241;71912;0,34
756;25;8137;0,31
760;23;12433;0,18
766;18;10332;0,17
773;13;3529;0,37
779;29;8787;0,33
787;34;9912;0,34
791;54;21015;0,26
810;8;8131;0,10
813;24;13176;0,18
820;32;6886;0,46
825;0;96;0,00
840;22;6958;0,32
846;29;9316;0,31
849;27;8436;0,32
851;138;50634;0,27
860;24;14822;0,16
