"Kommune";"Bekræftede tilfælde de seneste 7 dage";"Testede de seneste 7 dage";"Positivprocent 7 dage"
101;597;86572;0,69
147;69;12059;0,57
151;57;9043;0,63
153;47;4909;0,96
155;6;2661;0,23
157;31;8820;0,35
159;82;9908;0,83
161;22;3761;0,58
163;26;5385;0,48
165;31;3624;0,86
167;55;9031;0,61
169;117;8922;1,31
173;31;7118;0,44
175;31;5919;0,52
183;52;4773;1,09
185;34;7131;0,48
187;23;2262;1,02
190;28;6209;0,45
201;14;4539;0,31
210;69;5425;1,27
217;70;6780;1,03
219;52;9161;0,57
223;6;2233;0,27
230;14;7592;0,18
240;68;9389;0,72
250;20;6239;0,32
253;64;7647;0,84
259;34;7345;0,46
260;5;2617;0,19
265;90;13888;0,65
269;10;3629;0,28
270;9;4809;0,19
306;19;3520;0,54
316;65;10329;0,63
320;11;4927;0,22
326;18;4781;0,38
329;38;4148;0,92
330;53;11056;0,48
336;5;2818;0,18
340;17;3921;0,43
350;10;3967;0,25
360;8;5398;0,15
370;119;13426;0,89
376;44;9039;0,49
390;39;6015;0,65
400;15;7791;0,19
410;5;5040;0,10
411;0;2;0,00
420;6;5206;0,12
430;27;6653;0,41
440;11;4160;0,26
450;42;6108;0,69
461;201;36615;0,55
479;8;9642;0,08
480;27;3895;0,69
482;8;1716;0,47
492;1;795;0,13
510;21;7082;0,30
530;18;4372;0,41
540;23;11830;0,19
550;10;4720;0,21
561;166;17219;0,96
563;1;700;0,14
573;22;5619;0,39
575;18;5625;0,32
580;42;10505;0,40
607;29;7306;0,40
615;107;13580;0,79
621;163;20262;0,80
630;161;19912;0,81
657;36;12274;0,29
661;23;9925;0,23
665;5;2561;0,20
671;9;3265;0,28
706;13;5107;0,25
707;17;4256;0,40
710;14;7556;0,19
727;15;3233;0,46
730;121;12302;0,98
740;59;13625;0,43
741;0;261;0,00
746;34;10037;0,34
751;193;47084;0,41
756;11;5863;0,19
760;50;7256;0,69
766;44;7812;0,56
773;5;2881;0,17
779;32;5410;0,59
787;38;6488;0,59
791;49;14970;0,33
810;7;5726;0,12
813;10;10549;0,09
820;17;4625;0,37
825;0;233;0,00
840;9;4046;0,22
846;28;6936;0,40
849;17;4809;0,35
851;121;37052;0,33
860;13;11022;0,12
