"Kommune";"Bekræftede tilfælde de seneste 7 dage";"Testede de seneste 7 dage";"Positivprocent 7 dage"
101;765;90515;0,85
147;132;12995;1,02
151;54;10232;0,53
153;54;4542;1,19
155;8;2247;0,36
157;57;10468;0,54
159;83;12110;0,69
161;28;3399;0,82
163;26;4453;0,58
165;56;4183;1,34
167;57;8668;0,66
169;102;9960;1,02
173;50;7599;0,66
175;98;5852;1,67
183;104;4401;2,36
185;32;7500;0,43
187;17;2494;0,68
190;27;6485;0,42
201;11;4127;0,27
210;41;5299;0,77
217;94;7843;1,20
219;29;10065;0,29
223;35;3187;1,10
230;44;7365;0,60
240;45;7910;0,57
250;34;5989;0,57
253;55;8459;0,65
259;42;7304;0,58
260;51;4316;1,18
265;67;15504;0,43
269;14;4109;0,34
270;11;5575;0,20
306;10;3090;0,32
316;32;10824;0,30
320;16;4853;0,33
326;9;4708;0,19
329;31;3786;0,82
330;37;11651;0,32
336;8;2480;0,32
340;7;3859;0,18
350;8;4432;0,18
360;52;6149;0,85
370;25;13782;0,18
376;23;8438;0,27
390;12;5313;0,23
400;3;5197;0,06
410;26;6427;0,40
411;0;4;0,00
420;18;5259;0,34
430;15;8904;0,17
440;11;3986;0,28
450;7;5588;0,13
461;149;40440;0,37
479;40;12283;0,33
480;21;4572;0,46
482;2;1952;0,10
492;0;734;0,00
510;13;6363;0,20
530;7;4581;0,15
540;26;12472;0,21
550;13;5132;0,25
561;77;20650;0,37
563;0;561;0,00
573;17;6922;0,25
575;23;5023;0,46
580;15;11032;0,14
607;48;7694;0,62
615;60;15719;0,38
621;42;16370;0,26
630;87;19647;0,44
657;57;14422;0,40
661;3;10996;0,03
665;4;2997;0,13
671;3;3625;0,08
706;20;5974;0,33
707;25;4036;0,62
710;23;9220;0,25
727;11;3768;0,29
730;93;14622;0,64
740;39;14444;0,27
741;0;85;0,00
746;17;12064;0,14
751;234;53482;0,44
756;10;6655;0,15
760;23;8411;0,27
766;26;8138;0,32
773;24;2559;0,94
779;8;6402;0,12
787;19;6405;0,30
791;60;15499;0,39
810;12;5034;0,24
813;24;9418;0,25
820;23;3428;0,67
825;0;180;0,00
840;11;4296;0,26
846;41;6485;0,63
849;27;4949;0,55
851;115;35142;0,33
860;37;11379;0,33
