"Dato";"Region";"Køn";"Bekræftede tilfælde";"Døde";"Overstået infektion";"Indlæggelser";"Testede personer";"Ændring i antal bekræftede tilfælde";"Ændring i antal døde";"Ændring i antal overstået infektion";"Ændring i antal indlagte";"Ændring i antallet af testede personer";"Antallet af prøver";"Ændring i antallet af prøver"
2021-03-09;Hovedstaden;F;52954;609;50793;3094;761179;123;0;94;7;891;3775580;26044
2021-03-09;Hovedstaden;M;49217;665;47018;3180;699956;126;0;105;5;1000;2809073;20959
2021-03-09;Midtjylland;F;19251;147;18690;817;502284;41;0;44;0;629;2157679;13857
2021-03-09;Midtjylland;M;18371;193;17783;1032;468614;35;0;38;2;694;1596713;11853
2021-03-09;NA;;0;0;0;0;18;0;0;0;0;0;24;0
2021-03-09;NA;F;620;0;603;41;15352;1;0;2;0;40;44461;392
2021-03-09;NA;M;1287;2;1225;91;25963;3;0;6;0;69;71570;630
2021-03-09;Nordjylland;F;7351;68;7120;359;240214;13;0;21;0;204;1129605;7839
2021-03-09;Nordjylland;M;7271;109;6999;448;229622;9;0;21;0;236;840251;6338
2021-03-09;Sjælland;F;15683;170;14977;1009;310862;28;0;49;2;381;1404261;8482
2021-03-09;Sjælland;M;14321;212;13562;1197;287514;37;0;40;1;433;1012454;7348
2021-03-09;Syddanmark;F;14648;94;13804;674;457770;54;0;89;5;765;2005536;16651
2021-03-09;Syddanmark;M;14817;112;13847;767;429490;57;0;80;0;904;1517519;14055
